node_from,node_to,weight
0,626,1
0,1246,1
0,1258,1
0,1332,1
0,1849,1
0,2428,1
0,3900,1
0,4307,1
0,4510,1
0,4597,1
0,4888,1
0,5329,1
0,5787,1
0,6140,1
0,6717,1
0,7442,1
0,8322,1
0,8807,1
0,8920,1
0,9052,1
0,9217,1
1,1592,1
1,3119,1
1,3167,1
1,3777,1
1,4284,1
1,4317,1
1,4414,1
1,5299,1
1,5342,1
1,5636,1
1,5712,1
1,7043,1
1,7277,1
1,7349,1
1,8084,1
1,8383,1
1,8682,1
1,9577,1
2,655,1
2,805,1
2,825,1
2,1113,1
2,3077,1
2,4601,1
2,4761,1
2,5248,1
2,6190,1
2,6228,1
2,6616,1
2,8188,1
2,8982,1
2,9165,1
2,9684,1
3,173,1
3,402,1
3,710,1
3,1562,1
3,1742,1
3,3439,1
3,3506,1
3,3607,1
3,3903,1
3,4054,1
3,4558,1
3,5217,1
3,5391,1
3,5621,1
3,5645,1
3,6962,1
3,8295,1
3,8354,1
3,8391,1
3,8832,1
3,9492,1
4,1449,1
4,1646,1
4,2039,1
4,2332,1
4,2930,1
4,3613,1
4,4428,1
4,4440,1
4,5446,1
4,6064,1
4,6073,1
4,6230,1
4,7338,1
4,7664,1
4,9651,1
4,9797,1
4,9976,1
5,202,1
5,1910,1
5,1959,1
5,1994,1
5,2310,1
5,2324,1
5,2485,1
5,2725,1
5,2836,1
5,2916,1
5,3100,1
5,3427,1
5,3740,1
5,4537,1
5,4723,1
5,6297,1
5,6914,1
5,7195,1
5,7435,1
5,7619,1
5,8041,1
5,9506,1
5,9862,1
6,77,1
6,852,1
6,1542,1
6,1667,1
6,2129,1
6,2580,1
6,2860,1
6,3311,1
6,3870,1
6,4009,1
6,4029,1
6,4854,1
6,5034,1
6,5412,1
6,6081,1
6,6385,1
6,6880,1
6,7019,1
6,7200,1
6,8695,1
7,185,1
7,793,1
7,1555,1
7,1638,1
7,1725,1
7,2281,1
7,3200,1
7,3508,1
7,3621,1
7,3848,1
7,4274,1
7,4552,1
7,4681,1
7,4969,1
7,5665,1
7,6461,1
7,8094,1
7,8471,1
7,8610,1
7,9966,1
8,1952,1
8,2183,1
8,2212,1
8,2355,1
8,2465,1
8,3275,1
8,3745,1
8,4899,1
8,5588,1
8,5652,1
8,6054,1
8,6394,1
8,6614,1
8,6881,1
8,7255,1
8,7546,1
8,8067,1
8,8786,1
8,8894,1
8,9535,1
8,9718,1
8,9828,1
9,716,1
9,812,1
9,947,1
9,1461,1
9,2192,1
9,2352,1
9,3771,1
9,5192,1
9,8540,1
9,9551,1
10,690,1
10,915,1
10,1093,1
10,1106,1
10,2196,1
10,2866,1
10,2908,1
10,2949,1
10,3158,1
10,3183,1
10,3196,1
10,3281,1
10,3319,1
10,3516,1
10,3707,1
10,5807,1
10,6298,1
10,6652,1
10,7221,1
10,7305,1
10,7360,1
10,8236,1
10,8246,1
10,8858,1
10,9498,1
10,9748,1
11,965,1
11,1224,1
11,1784,1
11,1828,1
11,3036,1
11,3474,1
11,4243,1
11,4364,1
11,4418,1
11,5102,1
11,5421,1
11,5526,1
11,6025,1
11,6901,1
11,7153,1
11,7674,1
11,8550,1
12,31,1
12,426,1
12,1102,1
12,1479,1
12,1964,1
12,2368,1
12,4250,1
12,4708,1
12,5678,1
12,6331,1
12,7019,1
12,7152,1
12,7676,1
12,8160,1
12,8761,1
12,9050,1
12,9097,1
12,9570,1
13,72,1
13,521,1
13,943,1
13,3527,1
13,3886,1
13,4894,1
13,6258,1
13,6637,1
13,6922,1
13,7172,1
13,8974,1
14,250,1
14,393,1
14,2449,1
14,2595,1
14,2641,1
14,3005,1
14,3015,1
14,3206,1
14,4689,1
14,4921,1
14,5176,1
14,5683,1
14,8145,1
14,8360,1
14,8494,1
14,8746,1
14,9140,1
14,9857,1
15,408,1
15,1889,1
15,2064,1
15,2754,1
15,3590,1
15,3918,1
15,3961,1
15,4649,1
15,4975,1
15,5041,1
15,6870,1
15,8242,1
15,9394,1
15,9729,1
16,179,1
16,945,1
16,1659,1
16,1706,1
16,1865,1
16,2369,1
16,2657,1
16,3642,1
16,4013,1
16,4567,1
16,5292,1
16,5440,1
16,6198,1
16,6639,1
16,7563,1
16,8770,1
16,8889,1
16,9723,1
17,1273,1
17,1660,1
17,1677,1
17,1741,1
17,2993,1
17,4511,1
17,5139,1
17,5760,1
17,6277,1
17,6299,1
17,6378,1
17,6474,1
17,6990,1
17,7231,1
17,7555,1
17,7582,1
17,9887,1
17,9893,1
17,9987,1
18,251,1
18,408,1
18,612,1
18,1044,1
18,1109,1
18,2123,1
18,2470,1
18,3165,1
18,3330,1
18,3431,1
18,3569,1
18,3678,1
18,4270,1
18,4980,1
18,5068,1
18,6036,1
18,6267,1
18,6578,1
18,6757,1
18,6872,1
18,7491,1
18,7621,1
18,7763,1
18,8097,1
18,8327,1
18,9698,1
18,9968,1
19,920,1
19,956,1
19,2340,1
19,2422,1
19,3066,1
19,3849,1
19,4116,1
19,4357,1
19,4446,1
19,4808,1
19,4853,1
19,5269,1
19,5391,1
19,5467,1
19,5730,1
19,6966,1
19,7842,1
19,8187,1
19,8289,1
19,8457,1
19,8589,1
19,9215,1
19,9281,1
19,9364,1
19,9455,1
19,9856,1
20,458,1
20,1308,1
20,1585,1
20,2631,1
20,3272,1
20,4171,1
20,4998,1
20,5979,1
20,6453,1
20,7005,1
20,7392,1
20,7773,1
20,7904,1
20,7910,1
20,8585,1
20,9241,1
20,9636,1
20,9683,1
21,859,1
21,880,1
21,881,1
21,1459,1
21,2711,1
21,2977,1
21,3397,1
21,3920,1
21,3990,1
21,4162,1
21,5226,1
21,6327,1
21,7127,1
21,7861,1
21,8867,1
21,8871,1
21,9077,1
21,9529,1
22,1530,1
22,2728,1
22,2812,1
22,2922,1
22,2961,1
22,3233,1
22,4150,1
22,5002,1
22,5286,1
22,6303,1
22,6319,1
22,6787,1
22,6829,1
22,6848,1
22,7738,1
22,8046,1
22,8391,1
22,8444,1
22,8454,1
22,9228,1
22,9245,1
22,9440,1
23,1198,1
23,1216,1
23,1430,1
23,1470,1
23,1743,1
23,2205,1
23,2963,1
23,2970,1
23,3886,1
23,5905,1
23,6412,1
23,6588,1
23,7224,1
23,7466,1
23,7804,1
23,8190,1
23,8647,1
23,9278,1
23,9545,1
23,9588,1
23,9604,1
24,794,1
24,813,1
24,915,1
24,1213,1
24,1526,1
24,1792,1
24,2707,1
24,3149,1
24,3205,1
24,3449,1
24,4721,1
24,5108,1
24,5448,1
24,5587,1
24,5608,1
24,5767,1
24,5773,1
24,5852,1
24,6917,1
24,7629,1
24,7942,1
24,8318,1
24,8505,1
24,8722,1
24,8769,1
24,9612,1
24,9747,1
25,2764,1
25,2792,1
25,3974,1
25,4487,1
25,4777,1
25,4914,1
25,4964,1
25,6003,1
25,6408,1
25,7271,1
25,7558,1
25,8017,1
25,8107,1
25,8652,1
25,9426,1
25,9692,1
25,9869,1
26,445,1
26,502,1
26,1237,1
26,1238,1
26,1295,1
26,1304,1
26,1360,1
26,1604,1
26,2158,1
26,2473,1
26,2501,1
26,3258,1
26,3286,1
26,3457,1
26,4169,1
26,4401,1
26,5044,1
26,5362,1
26,5662,1
26,5916,1
26,7249,1
26,8094,1
26,8681,1
26,8725,1
26,8937,1
26,9860,1
27,1246,1
27,1404,1
27,1569,1
27,1793,1
27,2097,1
27,2390,1
27,3006,1
27,3445,1
27,3553,1
27,4721,1
27,4995,1
27,5694,1
27,5761,1
27,5888,1
27,7270,1
27,8491,1
27,8927,1
27,9122,1
27,9209,1
28,856,1
28,926,1
28,1036,1
28,1565,1
28,1615,1
28,1659,1
28,1777,1
28,1779,1
28,2199,1
28,3463,1
28,3715,1
28,4426,1
28,4820,1
28,4936,1
28,5057,1
28,5103,1
28,5469,1
28,6126,1
28,6313,1
28,6418,1
28,6649,1
28,6675,1
28,7231,1
28,8451,1
28,8976,1
28,9537,1
28,9792,1
29,596,1
29,1249,1
29,1278,1
29,2034,1
29,2297,1
29,2650,1
29,3274,1
29,3469,1
29,3813,1
29,4383,1
29,5056,1
29,5603,1
29,6933,1
29,6960,1
29,7080,1
29,8133,1
29,8328,1
29,8388,1
29,8851,1
29,9263,1
29,9387,1
29,9608,1
29,9665,1
29,9792,1
30,92,1
30,510,1
30,1416,1
30,1466,1
30,1845,1
30,2765,1
30,2859,1
30,4436,1
30,4611,1
30,5043,1
30,5209,1
30,5227,1
30,5840,1
30,5857,1
30,5948,1
30,6266,1
30,6444,1
30,6566,1
30,9363,1
30,9472,1
30,9770,1
31,402,1
31,1254,1
31,1413,1
31,1884,1
31,2049,1
31,2453,1
31,3441,1
31,4019,1
31,4023,1
31,4333,1
31,4492,1
31,4638,1
31,4773,1
31,5999,1
31,6093,1
31,8656,1
31,8774,1
32,1820,1
32,1894,1
32,2302,1
32,2333,1
32,2798,1
32,3006,1
32,3109,1
32,4802,1
32,5043,1
32,6769,1
32,8573,1
32,8579,1
32,8846,1
33,134,1
33,257,1
33,448,1
33,609,1
33,1397,1
33,2431,1
33,3779,1
33,3873,1
33,4175,1
33,5268,1
33,6161,1
33,6342,1
33,6436,1
33,6807,1
33,7561,1
33,8423,1
33,8974,1
33,9126,1
33,9591,1
33,9860,1
34,113,1
34,521,1
34,736,1
34,1387,1
34,1560,1
34,2456,1
34,3295,1
34,3812,1
34,3905,1
34,4095,1
34,4975,1
34,5133,1
34,5497,1
34,6058,1
34,6364,1
34,6912,1
34,7396,1
34,8204,1
34,8856,1
34,9940,1
35,120,1
35,134,1
35,333,1
35,984,1
35,1823,1
35,3096,1
35,3405,1
35,5149,1
35,5331,1
35,6108,1
35,6231,1
35,6259,1
35,6519,1
35,6595,1
35,6769,1
35,7419,1
35,7794,1
35,7899,1
35,8513,1
35,8785,1
35,9482,1
36,412,1
36,2463,1
36,4029,1
36,4466,1
36,4805,1
36,5675,1
36,6667,1
36,6744,1
36,7216,1
36,7320,1
36,8787,1
36,9189,1
36,9384,1
36,9653,1
37,1105,1
37,1288,1
37,2783,1
37,4291,1
37,6295,1
37,6528,1
37,6833,1
37,6864,1
37,7359,1
37,7662,1
37,7665,1
37,8029,1
37,8644,1
38,710,1
38,1414,1
38,1534,1
38,1869,1
38,2087,1
38,2096,1
38,3561,1
38,3614,1
38,3672,1
38,4386,1
38,4645,1
38,4897,1
38,4904,1
38,5300,1
38,6041,1
38,6401,1
38,6538,1
38,7656,1
38,7773,1
38,7892,1
38,8746,1
38,9999,1
39,247,1
39,622,1
39,697,1
39,1028,1
39,1594,1
39,1742,1
39,2303,1
39,2933,1
39,3062,1
39,3659,1
39,4281,1
39,5224,1
39,5699,1
39,7656,1
39,7957,1
39,8404,1
39,8853,1
39,8901,1
39,9797,1
40,666,1
40,961,1
40,1012,1
40,1117,1
40,2725,1
40,3576,1
40,3896,1
40,4421,1
40,4739,1
40,4882,1
40,4956,1
40,5091,1
40,5612,1
40,5834,1
40,6110,1
40,6213,1
40,6563,1
40,6872,1
40,7206,1
40,7973,1
40,8654,1
41,439,1
41,971,1
41,1586,1
41,2420,1
41,2442,1
41,3008,1
41,4965,1
41,5041,1
41,5424,1
41,5811,1
41,6635,1
41,7372,1
41,7621,1
41,7754,1
41,8254,1
41,8335,1
41,8350,1
41,9117,1
41,9245,1
41,9449,1
41,9689,1
41,9696,1
42,669,1
42,1567,1
42,1878,1
42,2408,1
42,3832,1
42,4159,1
42,4323,1
42,5205,1
42,5379,1
42,5966,1
42,6312,1
42,6712,1
42,7351,1
42,8925,1
42,9218,1
42,9570,1
42,9678,1
42,9995,1
43,309,1
43,638,1
43,947,1
43,1582,1
43,1906,1
43,2744,1
43,3231,1
43,3298,1
43,3346,1
43,3781,1
43,4065,1
43,4527,1
43,4989,1
43,5284,1
43,5880,1
43,6494,1
43,7596,1
43,7880,1
43,8548,1
43,9712,1
44,996,1
44,1729,1
44,2683,1
44,2741,1
44,2979,1
44,3108,1
44,3149,1
44,3617,1
44,3777,1
44,4324,1
44,4560,1
44,5046,1
44,6650,1
44,7011,1
44,7126,1
44,8358,1
44,9440,1
45,431,1
45,642,1
45,726,1
45,1018,1
45,1237,1
45,2386,1
45,2470,1
45,2865,1
45,3374,1
45,3493,1
45,3731,1
45,3781,1
45,4558,1
45,7078,1
45,7149,1
45,7229,1
45,8059,1
45,8109,1
45,8133,1
45,9281,1
46,327,1
46,1315,1
46,1541,1
46,1589,1
46,2391,1
46,2521,1
46,2526,1
46,3454,1
46,3579,1
46,4001,1
46,4133,1
46,4354,1
46,5266,1
46,5500,1
46,6015,1
46,6345,1
46,7112,1
47,493,1
47,539,1
47,1538,1
47,1662,1
47,2722,1
47,3158,1
47,3479,1
47,3699,1
47,4053,1
47,4684,1
47,4921,1
47,5402,1
47,5506,1
47,5905,1
47,7664,1
47,8049,1
47,9673,1
48,823,1
48,1025,1
48,1046,1
48,1151,1
48,1743,1
48,1877,1
48,2622,1
48,3010,1
48,3028,1
48,3118,1
48,3393,1
48,5255,1
48,5422,1
48,5546,1
48,5557,1
48,5923,1
48,5949,1
48,6378,1
48,6971,1
48,9701,1
49,332,1
49,1134,1
49,1317,1
49,2360,1
49,2767,1
49,2862,1
49,3837,1
49,3972,1
49,4148,1
49,5483,1
49,5666,1
49,5927,1
49,6140,1
49,6380,1
49,6695,1
49,6965,1
49,7630,1
49,8139,1
49,8141,1
49,9288,1
49,9364,1
49,9710,1
50,1372,1
50,1719,1
50,2146,1
50,2641,1
50,2802,1
50,3182,1
50,4667,1
50,4977,1
50,5280,1
50,5754,1
50,7637,1
50,8358,1
50,8410,1
50,8577,1
50,9420,1
50,9561,1
50,9735,1
51,791,1
51,819,1
51,1067,1
51,1405,1
51,1944,1
51,3904,1
51,4152,1
51,4900,1
51,6531,1
51,6535,1
51,6541,1
51,7403,1
51,8153,1
51,8155,1
51,8964,1
51,9485,1
51,9690,1
51,9881,1
52,475,1
52,936,1
52,1003,1
52,1707,1
52,1860,1
52,2427,1
52,4389,1
52,5137,1
52,5283,1
52,5372,1
52,5397,1
52,7095,1
52,7889,1
52,8011,1
52,8549,1
52,9704,1
53,417,1
53,566,1
53,1114,1
53,1162,1
53,1219,1
53,1232,1
53,1685,1
53,2187,1
53,2270,1
53,3139,1
53,3717,1
53,4515,1
53,4708,1
53,5674,1
53,6073,1
53,6688,1
53,7581,1
53,7901,1
53,7943,1
53,8116,1
53,8656,1
54,59,1
54,1471,1
54,1945,1
54,2093,1
54,2130,1
54,2247,1
54,2866,1
54,3016,1
54,3065,1
54,3128,1
54,3969,1
54,5367,1
54,5418,1
54,6759,1
54,7095,1
54,7372,1
54,7457,1
54,7655,1
54,7745,1
54,8094,1
54,8353,1
54,8541,1
54,9394,1
54,9913,1
55,313,1
55,547,1
55,648,1
55,2169,1
55,2185,1
55,2321,1
55,2801,1
55,2868,1
55,3196,1
