node_from,node_to,weight
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,10,1
0,14,1
0,19,1
0,28,1
0,31,1
0,36,1
0,37,1
0,38,1
0,40,1
0,41,1
0,46,1
0,49,1
0,51,1
0,52,1
0,54,1
0,56,1
0,59,1
0,67,1
0,69,1
0,74,1
0,81,1
0,91,1
0,98,1
0,100,1
0,106,1
0,107,1
0,111,1
0,115,1
0,116,1
0,125,1
0,127,1
0,130,1
0,131,1
0,135,1
0,140,1
0,146,1
0,166,1
0,170,1
0,173,1
0,176,1
0,206,1
0,221,1
0,225,1
0,227,1
0,234,1
0,242,1
0,251,1
0,266,1
0,273,1
0,277,1
0,278,1
0,293,1
0,295,1
0,302,1
0,305,1
0,306,1
0,328,1
0,332,1
0,340,1
0,345,1
0,388,1
0,390,1
0,395,1
0,415,1
0,445,1
0,446,1
0,457,1
0,469,1
0,501,1
0,522,1
0,524,1
0,543,1
0,545,1
0,553,1
0,558,1
0,594,1
0,606,1
0,607,1
0,637,1
0,644,1
0,652,1
0,658,1
0,662,1
0,680,1
0,684,1
0,700,1
0,705,1
0,724,1
0,832,1
0,866,1
0,896,1
0,901,1
0,902,1
0,909,1
0,915,1
0,919,1
0,971,1
0,1005,1
0,1020,1
0,1040,1
0,1082,1
0,1084,1
0,1091,1
0,1099,1
0,1240,1
0,1252,1
0,1281,1
0,1289,1
0,1297,1
0,1335,1
0,1359,1
0,1374,1
0,1441,1
0,1463,1
0,1476,1
0,1521,1
0,1548,1
0,1616,1
0,1623,1
0,1631,1
0,1642,1
0,1745,1
0,1754,1
0,1775,1
0,1797,1
0,1837,1
0,1838,1
0,1840,1
0,1862,1
0,1897,1
0,1914,1
0,1921,1
0,1930,1
0,1983,1
0,1990,1
0,2141,1
0,2264,1
0,2309,1
0,2409,1
0,2466,1
0,2490,1
0,2497,1
0,2534,1
0,2552,1
0,2564,1
0,2697,1
0,2744,1
0,2795,1
0,2801,1
0,2809,1
0,2848,1
0,2863,1
0,2881,1
0,2940,1
0,2948,1
0,2983,1
0,3032,1
0,3056,1
0,3072,1
0,3078,1
0,3163,1
0,3200,1
0,3221,1
0,3285,1
0,3292,1
0,3348,1
0,3444,1
0,3452,1
0,3464,1
0,3544,1
0,3574,1
0,3637,1
0,3664,1
0,3706,1
0,3718,1
0,3721,1
0,3754,1
0,3756,1
0,3842,1
0,4036,1
0,4097,1
0,4107,1
0,4176,1
0,4184,1
0,4320,1
0,4348,1
0,4501,1
0,4522,1
0,4563,1
0,4615,1
0,4662,1
0,4700,1
0,4810,1
0,4836,1
0,4976,1
0,4997,1
0,5149,1
0,5161,1
0,5170,1
0,5195,1
0,5200,1
0,5336,1
0,5337,1
0,5474,1
0,5498,1
0,5526,1
0,5627,1
0,5674,1
0,5715,1
0,5740,1
0,5771,1
0,6043,1
0,6083,1
0,6139,1
0,6144,1
0,6156,1
0,6197,1
0,6289,1
0,6365,1
0,6371,1
0,6510,1
0,6655,1
0,6674,1
0,6919,1
0,6993,1
0,7032,1
0,7061,1
0,7104,1
0,7114,1
0,7137,1
0,7147,1
0,7199,1
0,7230,1
0,7299,1
0,7304,1
0,7310,1
0,7366,1
0,7568,1
0,7788,1
0,7855,1
0,7951,1
0,8004,1
0,8009,1
0,8102,1
0,8156,1
0,8220,1
0,8277,1
0,8312,1
0,8323,1
0,8406,1
0,8447,1
0,8511,1
0,8521,1
0,8587,1
0,8612,1
0,8787,1
0,8849,1
0,8874,1
0,8884,1
0,8887,1
0,9017,1
0,9046,1
0,9155,1
0,9361,1
0,9421,1
0,9427,1
0,9618,1
0,9697,1
0,9781,1
0,9803,1
0,9862,1
0,9929,1
1,6,1
1,8,1
1,11,1
1,12,1
1,13,1
1,18,1
1,20,1
1,21,1
1,22,1
1,23,1
1,27,1
1,29,1
1,37,1
1,40,1
1,53,1
1,56,1
1,58,1
1,103,1
1,110,1
1,114,1
1,120,1
1,127,1
1,132,1
1,163,1
1,173,1
1,181,1
1,204,1
1,207,1
1,214,1
1,249,1
1,251,1
1,326,1
1,339,1
1,344,1
1,350,1
1,387,1
1,397,1
1,406,1
1,531,1
1,589,1
1,598,1
1,615,1
1,657,1
1,672,1
1,753,1
1,765,1
1,819,1
1,916,1
1,1034,1
1,1048,1
1,1074,1
1,1090,1
1,1211,1
1,1232,1
1,1246,1
1,1388,1
1,1412,1
1,1430,1
1,1434,1
1,1481,1
1,1531,1
1,1537,1
1,1622,1
1,1635,1
1,1656,1
1,1691,1
1,1707,1
1,1854,1
1,1855,1
1,1901,1
1,1975,1
1,1981,1
1,2090,1
1,2110,1
1,2126,1
1,2154,1
1,2158,1
1,2183,1
1,2201,1
1,2227,1
1,2343,1
1,2395,1
1,2490,1
1,2496,1
1,2577,1
1,2648,1
1,2905,1
1,2913,1
1,2962,1
1,3007,1
1,3080,1
1,3123,1
1,3299,1
1,3303,1
1,3365,1
1,3376,1
1,3458,1
1,3476,1
1,3582,1
1,4026,1
1,4296,1
1,4560,1
1,4569,1
1,4631,1
1,4695,1
1,4789,1
1,4844,1
1,4867,1
1,4949,1
1,5097,1
1,5119,1
1,5291,1
1,5417,1
1,5423,1
1,5490,1
1,5547,1
1,5761,1
1,5834,1
1,5845,1
1,5964,1
1,5985,1
1,6161,1
1,6187,1
1,6472,1
1,6526,1
1,6549,1
1,6586,1
1,6770,1
1,6779,1
1,6863,1
1,6895,1
1,6935,1
1,7118,1
1,7216,1
1,7313,1
1,7386,1
1,7472,1
1,7619,1
1,7628,1
1,7881,1
1,8041,1
1,8066,1
1,8568,1
1,8601,1
1,8835,1
1,8915,1
1,9099,1
1,9141,1
1,9508,1
1,9737,1
2,5,1
2,6,1
2,7,1
2,17,1
2,23,1
2,25,1
2,38,1
2,48,1
2,53,1
2,62,1
2,80,1
2,81,1
2,84,1
2,85,1
2,99,1
2,100,1
2,122,1
2,132,1
2,154,1
2,160,1
2,186,1
2,200,1
2,222,1
2,230,1
2,240,1
2,253,1
2,276,1
2,290,1
2,294,1
2,301,1
2,325,1
2,332,1
2,351,1
2,366,1
2,383,1
2,428,1
2,445,1
2,478,1
2,523,1
2,526,1
2,577,1
2,589,1
2,608,1
2,609,1
2,616,1
2,659,1
2,669,1
2,768,1
2,820,1
2,865,1
2,877,1
2,929,1
2,953,1
2,1024,1
2,1034,1
2,1042,1
2,1046,1
2,1096,1
2,1107,1
2,1110,1
2,1145,1
2,1163,1
2,1205,1
2,1218,1
2,1243,1
2,1270,1
2,1291,1
2,1297,1
2,1326,1
2,1396,1
2,1402,1
2,1527,1
2,1529,1
2,1562,1
2,1564,1
2,1579,1
2,1613,1
2,1637,1
2,1675,1
2,1704,1
2,1734,1
2,1761,1
2,1811,1
2,1932,1
2,1987,1
2,2005,1
2,2086,1
2,2094,1
2,2101,1
2,2217,1
2,2240,1
2,2247,1
2,2313,1
2,2334,1
2,2355,1
2,2421,1
2,2432,1
2,2483,1
2,2586,1
2,2656,1
2,2661,1
2,2666,1
2,2751,1
2,2834,1
2,3103,1
2,3128,1
2,3234,1
2,3254,1
2,3377,1
2,3420,1
2,3435,1
2,3463,1
2,3630,1
2,3655,1
2,3764,1
2,3893,1
2,4185,1
2,4214,1
2,4241,1
2,4256,1
2,4355,1
2,4536,1
2,4574,1
2,4728,1
2,4820,1
2,4965,1
2,4982,1
2,5037,1
2,5042,1
2,5128,1
2,5149,1
2,5303,1
2,5538,1
2,5860,1
2,5874,1
2,5910,1
2,6020,1
2,6027,1
2,6149,1
2,6416,1
2,6670,1
2,6735,1
2,7162,1
2,7232,1
2,7251,1
2,7257,1
2,7262,1
2,7374,1
2,7458,1
2,7503,1
2,7535,1
2,7546,1
2,7936,1
2,8034,1
2,8115,1
2,8178,1
2,8298,1
2,8416,1
2,8422,1
2,8862,1
2,8928,1
2,9115,1
2,9157,1
2,9219,1
2,9229,1
2,9238,1
2,9545,1
2,9837,1
3,5,1
3,8,1
3,9,1
3,15,1
3,23,1
3,25,1
3,31,1
3,33,1
3,46,1
3,50,1
3,60,1
3,82,1
3,89,1
3,179,1
3,192,1
3,221,1
3,234,1
3,242,1
3,364,1
3,371,1
3,400,1
3,575,1
3,646,1
3,686,1
3,762,1
3,811,1
3,850,1
3,873,1
3,896,1
3,1015,1
3,1091,1
3,1092,1
3,1110,1
3,1130,1
3,1147,1
3,1257,1
3,1405,1
3,1435,1
3,1448,1
3,1478,1
3,1522,1
3,1625,1
3,1761,1
3,1782,1
3,1966,1
3,2055,1
3,2171,1
3,2225,1
3,2324,1
3,2351,1
3,2404,1
3,2445,1
3,2491,1
3,2567,1
3,2600,1
3,2731,1
3,2743,1
3,2784,1
3,2994,1
3,3309,1
3,3481,1
3,3564,1
3,3579,1
3,3606,1
3,4160,1
3,4202,1
3,4205,1
3,4242,1
3,4404,1
3,4581,1
3,4656,1
3,4696,1
3,4731,1
3,4738,1
3,4743,1
3,4966,1
3,5130,1
3,5411,1
3,5489,1
3,5594,1
3,5753,1
3,5817,1
3,6041,1
3,6084,1
3,6107,1
3,6210,1
3,6458,1
3,6579,1
3,6986,1
3,7080,1
3,7505,1
3,7684,1
3,8159,1
3,8178,1
3,8296,1
3,8443,1
3,8504,1
3,8687,1
3,8943,1
3,9109,1
3,9987,1
4,5,1
4,7,1
4,10,1
4,11,1
4,12,1
4,21,1
4,24,1
4,26,1
4,27,1
4,38,1
4,51,1
4,65,1
4,96,1
4,103,1
4,110,1
4,142,1
4,178,1
4,184,1
4,198,1
4,201,1
4,203,1
4,222,1
4,226,1
4,260,1
4,280,1
4,299,1
4,338,1
4,346,1
4,372,1
4,410,1
4,412,1
4,418,1
4,445,1
4,506,1
4,537,1
4,791,1
4,805,1
4,845,1
4,859,1
4,871,1
4,927,1
4,947,1
4,1021,1
4,1054,1
4,1069,1
4,1125,1
4,1190,1
4,1198,1
4,1219,1
4,1227,1
4,1243,1
4,1372,1
4,1488,1
4,1532,1
4,1534,1
4,1627,1
4,1733,1
4,1742,1
4,1749,1
4,1811,1
4,1817,1
4,1844,1
4,1925,1
4,1938,1
4,1994,1
4,2187,1
4,2195,1
4,2211,1
4,2281,1
4,2282,1
4,2488,1
4,2571,1
4,2608,1
4,2655,1
4,2674,1
4,2741,1
4,2746,1
4,2759,1
4,2820,1
4,3036,1
4,3098,1
4,3108,1
4,3266,1
4,3352,1
4,3417,1
4,3422,1
4,3465,1
4,3562,1
4,3815,1
4,3844,1
4,4131,1
4,4190,1
4,4219,1
4,4386,1
4,4405,1
4,4421,1
4,4494,1
4,4582,1
4,4622,1
4,4625,1
4,4834,1
4,4859,1
4,4924,1
4,4945,1
4,5022,1
4,5131,1
4,5321,1
4,5384,1
4,5455,1
4,5483,1
4,5489,1
4,5496,1
4,5587,1
4,5727,1
4,5927,1
4,5999,1
4,6125,1
4,6259,1
4,6268,1
4,6603,1
4,6671,1
4,6685,1
4,6776,1
4,6802,1
4,6903,1
4,7187,1
4,7196,1
4,7389,1
4,7426,1
4,7538,1
4,7562,1
4,7613,1
4,7663,1
4,7793,1
4,7810,1
4,7821,1
4,7877,1
4,7945,1
4,8087,1
4,8234,1
4,8255,1
4,8263,1
4,8282,1
4,8301,1
4,8565,1
4,8600,1
4,8622,1
4,8717,1
4,8844,1
4,8930,1
4,9414,1
4,9643,1
4,9765,1
5,6,1
5,7,1
5,8,1
5,9,1
5,10,1
5,15,1
5,19,1
5,34,1
5,35,1
5,40,1
5,44,1
5,45,1
5,62,1
5,67,1
5,71,1
5,73,1
5,78,1
5,89,1
5,95,1
5,105,1
5,153,1
5,160,1
5,161,1
5,164,1
5,168,1
5,223,1
5,240,1
5,245,1
5,264,1
5,348,1
5,354,1
5,367,1
5,391,1
5,500,1
5,503,1
5,507,1
5,559,1
5,595,1
5,621,1
5,652,1
5,688,1
5,711,1
5,735,1
5,769,1
5,800,1
5,810,1
5,861,1
5,868,1
5,898,1
5,946,1
5,957,1
5,965,1
5,995,1
5,1208,1
5,1400,1
5,1413,1
5,1431,1
5,1469,1
5,1516,1
5,1563,1
5,1602,1
5,1619,1
5,1621,1
5,1624,1
5,1689,1
5,1699,1
5,1723,1
5,1746,1
5,1750,1
5,1791,1
5,1908,1
5,1912,1
5,1930,1
5,1942,1
5,2153,1
5,2175,1
5,2213,1
5,2321,1
5,2334,1
5,2340,1
5,2497,1
5,2564,1
5,2615,1
5,2789,1
5,2824,1
5,2843,1
5,3061,1
5,3178,1
5,3218,1
5,3219,1
5,3227,1
5,3453,1
5,3503,1
5,3600,1
5,3921,1
5,3945,1
5,4258,1
5,4272,1
5,4276,1
5,4303,1
5,4543,1
5,4626,1
5,4901,1
5,4999,1
5,5082,1
5,5110,1
5,5143,1
5,5160,1
5,5234,1
5,5327,1
5,5331,1
5,5430,1
5,5556,1
5,5663,1
5,5671,1
5,5776,1
5,5824,1
5,5873,1
5,5877,1
5,5887,1
5,6089,1
5,6176,1
5,6260,1
5,6302,1
5,6371,1
5,6384,1
5,6410,1
5,6584,1
5,6600,1
5,6810,1
5,6825,1
5,6911,1
5,7085,1
5,7179,1
5,7216,1
5,7357,1
5,7591,1
5,7668,1
5,7886,1
5,7997,1
5,8099,1
5,8146,1
5,8387,1
5,8416,1
5,8702,1
5,8766,1
5,8857,1
5,8871,1
5,8969,1
5,8992,1
5,9049,1
5,9364,1
5,9569,1
5,9606,1
6,30,1
6,82,1
6,98,1
6,111,1
6,121,1
6,126,1
6,147,1
6,152,1
6,155,1
6,162,1
6,184,1
6,193,1
6,337,1
6,349,1
6,384,1
6,410,1
6,464,1
6,491,1
6,714,1
6,733,1
6,761,1
6,843,1
6,928,1
6,1004,1
6,1123,1
6,1390,1
6,1460,1
6,1617,1
6,1681,1
6,1762,1
6,1765,1
6,1780,1
6,1793,1
6,1816,1
6,1853,1
6,2241,1
6,2277,1
6,2592,1
6,2790,1
6,3089,1
6,3091,1
6,3237,1
6,3310,1
6,3371,1
6,3717,1
6,3764,1
6,3796,1
6,3835,1
6,3856,1
6,4360,1
6,4687,1
6,4698,1
6,4699,1
6,4817,1
6,5037,1
6,5052,1
6,5151,1
6,5786,1
6,6133,1
6,6296,1
6,6367,1
6,6502,1
6,6620,1
6,6685,1
6,6723,1
6,6812,1
6,6869,1
6,7228,1
6,7517,1
6,7755,1
6,7824,1
6,8428,1
6,8981,1
6,9190,1
6,9233,1
6,9268,1
6,9341,1
6,9638,1
6,9652,1
6,9848,1
7,8,1
7,9,1
7,10,1
7,11,1
7,14,1
7,16,1
7,17,1
7,21,1
7,28,1
7,40,1
7,50,1
7,52,1
7,57,1
7,63,1
7,73,1
7,76,1
7,85,1
7,86,1
7,96,1
7,115,1
7,134,1
7,137,1
7,148,1
7,149,1
7,155,1
7,168,1
7,194,1
7,198,1
7,201,1
7,203,1
7,208,1
7,216,1
7,247,1
7,250,1
7,257,1
7,320,1
7,375,1
7,403,1
7,406,1
7,446,1
